Name, Path
National Child Measurement Programme, /services/national-child-measurement-programme
National Clinical Content Repository (Copyright Licensing Service), /services/national-clinical-content-repository-copyright-licensing-service
National COVID Vaccine Invitation Preference Service, /services/national-covid-vaccination-invitation-preference-service
National Data Opt-Out, /services/national-data-opt-out
National Disease Registration Service (NDRS), /services/national-disease-registration-service
National Events Management Service (NEMS), /services/national-events-management-service
National Health Application and Infrastructure Services, /services/nhais
National Pandemic Flu Service, /services/national-pandemic-flu-service
National Performers List, /services/national-performers-list
National Record Locator (NRL), /services/national-record-locator
Networking addressing, /services/networking-addressing
NHS.UK, /services/nhs.uk
NHS 111 online, /services/nhs-111-online
NHS App, /services/nhs-app
NHS Apps Library, /services/nhs-apps-library
NHS Business Partners, /services/nhs-business-partners
NHS Data Model and Dictionary Service, /services/nhs-data-model-and-dictionary-service
NHS Data Standards Directory, /services/nhs-data-standards-directory
NHS Digital service manual, https://service-manual.nhs.uk/
NHS Digital Staff Passport, /services/digital-staff-passport
NHS DigiTrials, /services/nhs-digitrials
NHS England Secure Data Environment, /services/secure-data-environment-service
NHS e-Referral Service, /services/e-referral-service
NHS Knowledge and Library Hub, /services/nhs-knowledge-and-library-hub
NHS login, /services/nhs-login
NHSmail, /services/nhsmail
NHS Notify, /services/nhs-notify
NHS Pathways, /services/nhs-pathways
NHS Profile Manager, /services/nhs-profile-manager
NHS Service Finder, /services/nhs-service-finder
NHS Standards Directory, /services/nhs-standards-directory/nhs-standards-directory
NHS Wi-Fi, /services/nhs-wifi
Open Exeter, /services/open-exeter
Organisation Data Service (ODS), /services/organisation-data-service
Orphaned Record Continuity, /services/orphaned-record-continuity
Partner onboarding, /services/partner-onboarding
Pathology standards and implementation, /services/pathology-standards-and-implementation
Path to Live environments, /services/path-to-live-environments
Patient Care Aggregator, /services/patient-care-aggregator
Personal Demographics Service, /services/personal-demographics-service
Personal Health Records adoption service, /services/personal-health-records-adoption-service
Prescription Pricing Division data, /services/prescription-pricing-division-data
Primary Care Registration Management, /services/primary-care-registration-management
Proxy application service, /services/proxy-application-service
Quality and Outcomes Framework (QOF) online database, /services/quality-and-outcomes-framework-qof-online-database
Reasonable Adjustment Flag, /services/reasonable-adjustment-flag
Register with a GP surgery, /services/register-with-a-gp-surgery-service
Repeat Caller Service, /services/repeat-caller-service
Respond to an NHS cyber alert, /services/respond-to-an-nhs-cyber-alert
Secondary Uses Service (SUS), /services/secondary-uses-service-sus
Service Management, /services/service-management
Shared Care Record programme, /services/shared-care-record-programme
Shielded Patient List, /services/high-risk-shielded-patients
Social Care Programme, /services/social-care-programme
Solution Assurance, /services/solution-assurance
Solving Together, https://solvingtogether.crowdicity.com/
Spend Comparison Service, /data-and-information/data-collections-and-data-sets/data-collections/spend-comparison-service
Spine, /services/spine
Spine Directory Service, /services/spine-directory-service
Strategic Data Collection Service (SDCS), /services/strategic-data-collection-service-sdcs
Strategic Data Collection Service in the cloud (SDCS Cloud), /services/strategic-data-collection-service-in-the-cloud-sdcs-cloud
Summary Care Record, /services/summary-care-records-scr
Suspended Record Continuity, /services/suspended-record-continuity
Terminology and Classifications, /services/terminology-and-classifications
The NHS England Terminology Server, /services/terminology-server
Tracking Database, /services/tracking-database
Training Quality Improvement, /services/training-quality-improvement
Transfer data securely, /services/transfer-data-securely
Transfer of Care initiative, /services/transfer-of-care-initiative
Trusted Research Environment service for England, /services/trusted-research-environment-service-for-england
Trust System Support Model, /services/trust-system-support-model-tssm
Urgent care self-service product, /services/urgent-care-self-service-product
Vaccinations data dashboard, /dashboards/vaccinations-data-dashboard
Vaccinations Data Flow Management, /services/vaccinations-data-flow-management
Vaccinations National Booking Service, /services/vaccinations-national-booking-service
Vaccinations Point-of-Care Solutions, /services/vaccinations-point-of-care
What Good Looks Like - Digital Maturity Assessments, /services/what-good-looks-like---digital-maturity-assessments
