Name, Path
IT Operations and Service Management Community, /services/it-operations-and-service-management-community
Independent Advisory Panel on Data Release (IAPDR), /services/independent-advisory-panel-on-data-release
Independent Communication Manager, /services/nhais/independent-communication-manager
Internet First, /services/internet-first
Interoperability Data Design Collaborative, /services/idd-collaborative
Interoperability Toolkit, /services/interoperability-toolkit
Lipid management searches, /services/lipid-management-searches
Local Service Providers, /services/local-service-providers
Master Person Service (MPS), /services/personal-demographics-service/master-person-service
Medicines interoperability, /services/digital-and-interoperable-medicines
Message Exchange for Social Care and Health, /services/message-exchange-for-social-care-and-health-mesh
Microsoft Office 365 for the NHS, /services/microsoft-office-365-for-the-nhs
Mobile Technology Investment Toolkit, /services/mobile-technology-investment-toolkit
NHS 111 online, /services/nhs-111-online
NHS App, /services/nhs-app
NHS Apps Library, /services/nhs-apps-library
NHS Business Partners, /services/nhs-business-partners
NHS Data Model and Dictionary Service, /services/nhs-data-model-and-dictionary-service
NHS Data Standards Directory, /services/nhs-data-standards-directory
NHS DigiTrials, /services/nhs-digitrials
NHS Digital Staff Passport, /services/digital-staff-passport
NHS England Secure Data Environment, /services/secure-data-environment-service
NHS Knowledge and Library Hub, /services/nhs-knowledge-and-library-hub
NHS Notify, /services/nhs-notify
NHS Pathways, /services/nhs-pathways
NHS Profile Manager, /services/nhs-profile-manager
NHS Service Finder, /services/nhs-service-finder
NHS Standards Directory, /services/nhs-standards-directory/nhs-standards-directory
NHS Wi-Fi, /services/nhs-wifi
NHS e-Referral Service, /services/e-referral-service
NHS e-Referral Service (e-RS), /services/e-referral-service/test-service-page-layouts/e-rs-landing-page-draft---july-2024
NHS login, /services/nhs-login
NHS login - August 2024 releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/august-2024
NHS login - June 2024 releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/june-2024
NHS login - May 2024 releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/may-2024
NHS login April 2024 Releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/april-2024
NHS login February 2024 Releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/february-2024
NHS login January 2024 Releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/january-2024
NHS login July 2024 Releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/july-2024
NHS login March 2024 Releases, /services/nhs-login/nhs-login-for-partners-and-developers/service-updates-and-releases/release-2024/march-2024
NHS numbers for health and social care organisations, /services/personal-demographics-service/nhs-number
NHS.UK, /services/nhs.uk
NHSmail, /services/nhsmail
National Back Office for the Personal Demographics Service, /services/personal-demographics-service/national-back-office-for-the-personal-demographics-service
National COVID Vaccine Invitation Preference Service, /services/national-covid-vaccination-invitation-preference-service
National Care Records Service, /services/national-care-records-service
National Casemix Office, /services/national-casemix-office
National Child Measurement Programme, /services/national-child-measurement-programme
National Clinical Content Repository (Copyright Licensing Service), /services/national-clinical-content-repository-copyright-licensing-service
National Data Opt-Out, /services/national-data-opt-out
National Disease Registration Service (NDRS), /services/national-disease-registration-service
National Events Management Service (NEMS), /services/national-events-management-service
National Health Application and Infrastructure Services, /services/nhais
National Indicator Library, /services/national-indicator-library
National Pandemic Flu Service, /services/national-pandemic-flu-service
National Performers List, /services/national-performers-list
National Record Locator (NRL), /services/national-record-locator
National cervical screening, /services/screening-services/national-cervical-screening
National technology resources for Integrated Care Systems, /services/national-technology-resources-for-integrated-care-systems
Networking addressing, /services/networking-addressing
Open Exeter, /services/open-exeter
Operations, /services/partner-onboarding/operations
Organisation Data Service (ODS), /services/organisation-data-service
Orphaned Records Continuity, /services/orphaned-records-continuity
Partner onboarding, /services/partner-onboarding
Path to Live environments, /services/path-to-live-environments
Pathology standards and implementation, /services/pathology-standards-and-implementation
Patient Care Aggregator, /services/patient-care-aggregator
Personal Demographics Service, /services/personal-demographics-service
Personal Health Records adoption service, /services/personal-health-records-adoption-service
Prescription Pricing Division data, /services/prescription-pricing-division-data
Primary Care Registration Management, /services/primary-care-registration-management
Print Management, /services/nhais/print-management
Proxy application service, /services/proxy-application-service
Quality and Outcomes Framework (QOF) online database, /services/quality-and-outcomes-framework-qof-online-database
Reasonable Adjustment Flag, /services/reasonable-adjustment-flag
Register with a GP surgery, /services/register-with-a-gp-surgery-service
Remote Clinical Desktop, /services/remote-clinical-desktop
Repeat Caller Service, /services/repeat-caller-service
Respond to an NHS cyber alert, /services/respond-to-an-nhs-cyber-alert
SNOMED CT, /services/terminology-and-classifications/snomed-ct
Screening services, /services/screening-services
Secondary Uses Service (SUS), /services/secondary-uses-service-sus
Self-renewal NHS smartcard certificate service, /services/care-identity-service/smartcard-and-authentication-users/self-renewal-nhs-smartcard-service
Service Management, /services/service-management
Shared Care Record programme, /services/shared-care-record-programme
Shielded Patient List, /services/high-risk-shielded-patients
Social Care Programme, /services/social-care-programme
Solution Assurance, /services/solution-assurance
Spine, /services/spine
Spine Directory Service, /services/spine-directory-service
Strategic Data Collection Service (SDCS), /services/strategic-data-collection-service-sdcs
Strategic Data Collection Service in the cloud (SDCS Cloud), /services/strategic-data-collection-service-in-the-cloud-sdcs-cloud
Summary Care Record, /services/summary-care-records-scr
Summary Care Record application (SCRa) private beta, /services/national-care-records-service/summary-care-record-scra-private-beta
Supporting open data and transparency, /services/supporting-open-data-and-transparency
Suspended Record Continuity, /services/suspended-record-continuity
Terminology and Classifications, /services/terminology-and-classifications
The NHS England Terminology Server, /services/terminology-server/terminology-server-new
The NHS England Terminology Server, /services/terminology-server
The secure email standard, /services/nhsmail/the-secure-email-standard
Tracking Database, /services/tracking-database
Training Quality Improvement, /services/training-quality-improvement
Transfer data securely, /services/transfer-data-securely
Transfer of Care initiative, /services/transfer-of-care-initiative
Trust System Support Model, /services/trust-system-support-model-tssm
Trusted Research Environment service for England, /services/trusted-research-environment-service-for-england
Urgent care self-service product, /services/urgent-care-self-service-product
User Interface, /services/message-exchange-for-social-care-and-health-mesh/mesh-user-interface-ui
User guide for Feasibility Self-Service tool, /services/nhs-digitrials/feasibility-service/guidance-on-using-feasibility-self-service
Vaccinations Data Flow Management, /services/vaccinations-data-flow-management
Vaccinations National Booking Service, /services/vaccinations-national-booking-service
Vaccinations Point-of-Care Solutions, /services/vaccinations-point-of-care
What Good Looks Like - Digital Maturity Assessments, /services/what-good-looks-like---digital-maturity-assessments
dictionary of medicines and devices (dm+d), /services/terminology-and-classifications/dm-d
eMED3 (fit note) in secondary care, /services/emed3-fit-note-in-secondary-care
iView and iViewPlus, /services/iview-and-iviewplus
